S_DT,S_HJ,SN_HJ,S_CARE,S_RECOVER,SN_RECOVER,S_DEATH,SY_TOTAL,SY_KJ,SY_KH,T_DT,T_HJ,N_HJ,TY_CARE,RECOVER,DEATH,TY_TOTAL,TY_KJ,TY_KH,JGK_OVERSEAS_GS,JGK_OVERSEAS_GH,JGK_CONT_GS,JGK_CONT_GH,CHECKING,DAY_DEATH,ALL_DAY_DEATH
2020.10.10.00,5510,25,600,4847,1,63,,,,2020.10.10.00,24548,72,1494,22624,430,,,,,,,,0,,
2020.10.09.00,5485,22,577,4846,37,62,,,,2020.10.09.00,24476,54,1479,22569,428,,,,,,,,0,,
2020.10.08.00,5463,20,592,4809,73,62,,,,2020.10.08.00,24422,69,1532,22463,427,,,,,,,,0,,
2020.10.07.00,5443,33,646,4736,152,61,,,,2020.10.07.00,24353,114,1594,22334,425,,,,,,,,0,,
2020.10.06.00,5410,15,765,4584,109,61,,,,2020.10.06.00,24239,75,1734,22083,422,,,,,,,,0,,
2020.10.05.00,5395,19,859,4475,9,61,,,,2020.10.05.00,24164,73,1856,21886,422,,,,,,,,0,,
2020.10.04.00,5376,16,850,4466,10,60,,,,2020.10.04.00,24091,64,1825,21845,421,,,,,,,,0,,
2020.10.03.00,5360,26,845,4456,11,59,,,,2020.10.03.00,24027,75,1820,21787,420,,,,,,,,0,,
2020.10.02.00,5334,11,832,4445,12,57,,,,2020.10.02.00,23952,63,1803,21733,416,,,,,,,,0,,
2020.10.01.00,5323,30,833,4433,18,57,,,,2020.10.01.00,23889,77,1808,21666,415,,,,,,,,0,,
2020.09.30.00,5293,51,822,4415,14,56,,,,2020.09.30.00,23812,113,1809,21590,413,,,,,,,,0,,
2020.09.29.00,5242,11,787,4401,75,54,,,,2020.09.29.00,23699,38,1822,21470,407,,,,,,,,0,,
2020.09.28.00,5231,19,847,4330,4,54,,,,2020.09.28.00,23661,50,1963,21292,406,,,,,,,,0,,
2020.09.27.00,5212,34,833,4326,10,53,,,,2020.09.27.00,23611,95,1962,21248,401,,,,,,,,0,,
2020.09.26.00,5178,26,809,4316,89,53,,,,2020.09.26.00,23516,61,1451,21666,399,,,,,,,,0,,
2020.09.25.00,5152,57,872,4228,55,52,,,,2020.09.25.00,23455,114,2082,20978,395,,,,,,,,0,,
2020.09.24.00,5095,39,872,4173,63,50,,,,2020.09.24.00,23341,125,2116,20832,393,,,,,,,,0,,
2020.09.23.00,5056,40,897,4110,76,49,,,,2020.09.23.00,23216,110,2178,20650,388,,,,,,,,0,,
2020.09.22.00,5016,21,933,4034,49,49,,,,2020.09.22.00,23106,61,2277,20441,388,,,,,,,,0,,
2020.09.21.00,4995,23,962,3985,24,48,,,,2020.09.21.00,23045,70,2412,20248,385,,,,,,,,0,,
2020.09.20.00,4972,28,964,3961,73,47,,,,2020.09.20.00,22975,82,2434,20158,383,,,,,,,,0,,
2020.09.19.00,4944,40,1010,3888,47,46,,,,2020.09.19.00,22893,110,2545,19970,378,,,,,,,,0,,
2020.09.18.00,4904,46,1017,3841,93,46,,,,2020.09.18.00,22783,126,2635,19771,377,,,,,,,,0,,
2020.09.17.00,4857,63,1066,3748,54,43,,,,2020.09.17.00,22657,153,2742,19543,372,,,,,,,,0,,
2020.09.16.00,4794,51,1058,3694,201,42,,,,2020.09.16.00,22504,113,2827,19310,367,,,,,,,,0,,
2020.09.15.00,4743,32,1208,3493,217,42,,,,2020.09.15.00,22391,106,3146,18878,367,,,,,,,,0,,
2020.09.14.00,4711,41,1395,3276,164,40,,,,2020.09.14.00,22285,109,3433,18489,363,,,,,,,,0,,
2020.09.13.00,4670,31,1520,3112,41,38,,,,2020.09.13.00,22176,121,3592,18226,358,,,,,,,,0,,
2020.09.12.00,4639,50,1533,3071,234,35,,,,2020.09.12.00,22055,136,3671,18029,355,,,,,,,,0,,
2020.09.11.00,4589,63,1718,2837,75,34,,,,2020.09.11.00,21919,176,3953,17616,350,,,,,,,,0,,
2020.09.10.00,4526,48,1732,2762,119,32,,,,2020.09.10.00,21743,155,4037,17360,346,,,,,,,,0,,
2020.09.09.00,4478,49,1803,2643,206,32,,,,2020.09.09.00,21588,156,4221,17023,344,,,,,,,,0,,
2020.09.08.00,4429,67,1960,2437,171,32,,,,2020.09.08.00,21432,136,4455,16636,341,,,,,,,,0,,
2020.09.07.00,4362,48,2068,2266,41,28,,,,2020.09.07.00,21296,119,4663,16297,336,,,,,,,,0,,
2020.09.06.00,4314,63,2063,2225,5,26,,,,2020.09.06.00,21177,167,4697,16146,334,,,,,,,,0,,
2020.09.05.00,4251,51,2006,2220,45,25,,,,2020.09.05.00,21010,168,4668,16009,333,,,,,,,,0,,
2020.09.04.00,4201,68,2001,2176,65,24,,,,2020.09.04.00,20842,198,4728,15783,331,,,,,,,,0,,
2020.09.03.00,4131,69,1996,2111,63,24,,,,2020.09.03.00,20644,195,4786,15529,329,,,,,,,,0,,
2020.09.02.00,4062,101,1990,2048,47,24,,,,2020.09.02.00,20449,267,4767,15356,326,,,,,,,,0,,
2020.09.01.00,3961,94,1937,2001,112,23,,,,2020.09.01.00,20182,235,4660,15198,324,,,,,,,,0,,
2020.08.31.00,3867,94,1945,1899,11,23,,,,2020.08.31.00,19947,248,4650,14973,324,,,,,,,,0,,
2020.08.30.00,3773,116,1863,1888,1,22,,,,2020.08.30.00,19699,299,4473,14903,323,,,,,,,,0,,
2020.08.29.00,3657,125,1750,1887,125,20,,,,2020.08.29.00,19400,323,4314,14765,321,,,,,,,,0,,
2020.08.28.00,3532,146,1751,1762,29,19,,,,2020.08.28.00,19077,371,4210,14551,316,,,,,,,,0,,
2020.08.27.00,3386,154,1636,1733,34,17,,,,2020.08.27.00,18706,441,3932,14461,313,,,,,,,,0,,
2020.08.26.00,3232,112,1516,1699,28,17,,,,2020.08.26.00,18265,320,3585,14368,312,,,,,,,,0,,
2020.08.25.00,3120,134,1433,1671,32,16,,,,2020.08.25.00,17945,280,3349,14286,310,,,,,,,,0,,
2020.08.24.00,2986,97,1331,1639,0,16,,,,2020.08.24.00,17665,266,3137,14219,309,,,,,,,,0,,
2020.08.23.00,2889,140,1234,1639,0,16,,,,2020.08.23.00,17399,397,2890,14200,309,,,,,,,,0,,
2020.08.22.00,2749,128,1094,1639,17,16,,,,2020.08.22.00,17002,332,2524,14169,309,,,,,,,,0,,
2020.08.21.00,2621,126,983,1622,21,16,,,,2020.08.21.00,16670,324,2241,14120,309,,,,,,,,0,,
2020.08.20.00,2495,135,879,1601,13,15,,,,2020.08.20.00,16346,288,1976,14063,307,,,,,,,,0,,
2020.08.19.00,2360,151,758,1588,15,14,,,,2020.08.19.00,16058,297,1746,14006,306,,,,,,,,0,,
2020.08.18.00,2209,132,622,1573,2,14,,,,2020.08.18.00,15761,246,1521,13934,306,,,,,,,,0,,
2020.08.17.00,2077,90,493,1571,0,13,,,,2020.08.17.00,15515,197,1293,13917,305,,,,,,,,0,,
2020.08.16.00,1987,146,403,1571,0,13,,,,2020.08.16.00,15318,279,1103,13910,305,,,,,,,,0,,
2020.08.15.00,1841,74,257,1571,7,13,,,,2020.08.15.00,15039,166,833,13901,305,,,,,,,,0,,
2020.08.14.00,1767,32,190,1564,8,13,,,,2020.08.14.00,14873,103,705,13863,305,,,,,,,,0,,
2020.08.13.00,1735,26,166,1556,7,13,,,,2020.08.13.00,14770,56,648,13817,305,,,,,,,,0,,
2020.08.12.00,1709,15,147,1549,15,13,,,,2020.08.12.00,14714,54,623,13786,305,,,,,,,,0,,
2020.08.11.00,1694,6,147,1534,18,13,,,,2020.08.11.00,14660,34,626,13729,305,,,,,,,,0,,
2020.08.10.00,1688,13,159,1516,1,13,,10711,354960,2020.08.10.00,14626,28,663,13658,305,,16396,1597281,7891,97189,2294,35407,0,,
2020.08.09.00,1675,13,147,1515,1,13,364796,10606,354190,2020.08.09.00,14598,36,651,13642,305,1624650,16803,1593249,7864,96474,2159,35397,0,,
2020.08.08.00,1662,17,135,1514,12,13,363698,10414,353284,2020.08.08.00,14562,43,629,13629,304,1620514,16105,1589847,7682,95603,2080,35307,0,,
2020.08.07.00,1645,9,130,1502,15,13,362228,10391,351837,2020.08.07.00,14519,20,673,13543,303,1599133,17068,1582065,7481,95070,2192,35129,0,,
2020.08.06.00,1636,9,136,1488,13,12,360452,11135,349317,2020.08.06.00,14499,43,697,13500,302,1591988,18031,1573957,7437,94591,2264,34988,0,,
2020.08.05.00,1627,6,140,1475,12,12,358074,11202,346872,2020.08.05.00,14456,33,748,13406,302,1583731,18490,1565241,7264,94028,2225,34906,0,,
2020.08.04.00,1621,9,147,1463,14,11,355722,11017,344705,2020.08.04.00,14423,34,770,13352,301,1575357,18724,1556633,7111,93620,2246,34804,0,,
2020.08.03.00,1612,5,152,1449,7,11,354151,11027,343124,2020.08.03.00,14389,23,808,13280,301,1565368,17401,1547967,7022,92605,2227,34773,0,,
2020.08.02.00,1607,5,154,1442,8,11,353323,10917,342406,2020.08.02.00,14366,30,806,13259,301,1561880,17768,1544112,6428,91296,2422,34542,0,,
2020.08.01.00,1602,2,157,1434,10,11,352175,11066,341109,2020.08.01.00,14336,31,802,13233,301,1557494,18278,1539216,6428,91296,2422,34542,0,,
2020.07.31.00,1600,8,165,1424,7,11,350384,11185,339199,2020.07.31.00,14305,36,821,13183,301,1549491,18330,1531161,6332,90716,2528,34248,0,,
2020.07.30.00,1592,3,164,1417,7,11,347944,10991,336953,2020.07.30.00,14269,18,837,13132,300,1541946,19018,1522928,6254,90166,2503,34125,0,,
2020.07.29.00,1589,9,168,1410,10,11,345761,10862,334899,2020.07.29.00,14251,48,882,13069,300,1533056,19326,1513730,6115,89543,2367,34020,0,,
2020.07.28.00,1580,6,169,1400,16,11,343297,10820,332477,2020.07.28.00,14203,28,896,13007,300,1523501,20444,1503057,6187,89071,2428,33884,0,,
2020.07.27.00,1574,9,179,1384,1,11,341308,10753,330555,2020.07.27.00,14175,25,971,12905,299,1512799,18770,1494029,6252,73897,2492,33589,0,,
2020.07.26.00,1565,7,171,1383,2,11,340728,10660,330068,2020.07.26.00,14150,58,962,12890,298,1508776,19214,1489562,6581,73011,2546,33475,0,,
2020.07.25.00,1558,11,166,1381,13,11,339580,10455,329125,2020.07.25.00,14092,113,928,12866,298,1504542,19681,1484861,6539,86170,2453,33304,0,,
2020.07.24.00,1547,21,168,1368,7,11,337963,10377,327586,2020.07.24.00,13979,41,864,12817,298,1496348,20559,1475789,6556,85657,2405,33144,0,,
2020.07.23.00,1526,12,154,1361,15,11,335468,10169,325299,2020.07.23.00,13938,59,883,12758,297,1486916,21418,1465498,6662,85078,2371,32982,0,,
2020.07.22.00,1514,16,157,1346,6,11,332701,10317,322384,2020.07.22.00,13879,63,884,12698,297,1478192,21751,1456441,6886,84287,2286,32818,0,,
2020.07.21.00,1498,21,148,1340,18,10,330790,10389,320401,2020.07.21.00,13816,45,877,12643,296,1468574,23864,1444710,7071,83685,2457,32407,0,,
2020.07.20.00,1477,3,145,1322,2,10,329326,10416,318910,2020.07.20.00,13771,26,903,12572,296,1456422,21302,1435120,6942,82817,2429,32393,0,,
2020.07.19.00,1474,10,144,1320,2,10,328725,10468,318257,2020.07.19.00,13745,34,894,12556,295,1451554,21953,1429601,7182,81950,2522,32214,0,,
2020.07.18.00,1464,6,137,1318,18,9,327723,10206,317517,2020.07.18.00,13711,60,898,12519,294,1446493,22923,1423570,7280,80969,2552,31978,0,,
2020.07.17.00,1458,9,149,1300,14,9,325153,9988,315165,2020.07.17.00,13672,60,919,12460,293,1437345,23110,1414235,7599,80074,2645,31849,0,,
2020.07.16.00,1449,7,154,1286,11,9,322919,9960,312959,2020.07.16.00,13612,61,925,12396,291,1427736,23404,1404332,7693,79430,2403,31633,0,,
2020.07.15.00,1442,6,158,1275,31,9,320342,9847,310495,2020.07.15.00,13551,39,914,12348,289,1417765,23297,1394468,7870,78632,2535,31360,0,,
2020.07.14.00,1436,7,183,1244,27,9,318146,9753,308393,2020.07.14.00,13512,33,941,12282,289,1407104,24289,1382815,7965,78068,2653,31144,0,,
2020.07.13.00,1429,13,203,1217,8,9,316183,9652,306531,2020.07.13.00,13479,62,986,12204,289,1394833,21845,1372988,7669,77341,5176,36421,0,,
2020.07.12.00,1416,7,198,1209,11,9,315405,9595,305810,2020.07.12.00,13417,44,951,12178,288,1388727,21830,1366897,7733,76618,2827,30704,0,,
2020.07.11.00,1409,8,202,1198,16,9,313457,9409,304048,2020.07.11.00,13373,35,941,12144,288,1394355,22950,1371405,7848,75667,2932,30483,0,,
2020.07.10.00,1401,8,210,1182,11,9,310940,9309,301631,2020.07.10.00,13338,45,985,12065,288,1371552,23527,1348025,7839,75175,2963,31156,0,,
2020.07.09.00,1393,8,213,1171,11,9,307608,9285,298323,2020.07.09.00,13293,50,987,12019,287,1358478,23912,1334566,7737,74707,2961,29978,0,,
2020.07.08.00,1385,10,216,1160,16,9,305590,9122,296468,2020.07.08.00,13244,63,989,11970,285,1346491,24012,1322479,7969,74116,2971,29791,0,,
2020.07.07.00,1375,3,223,1144,34,8,301998,9423,292575,2020.07.07.00,13181,44,982,11914,285,1333013,23675,1309338,7853,73639,3024,29586,0,,
2020.07.06.00,1372,3,254,1110,5,8,299905,9463,290442,2020.07.06.00,13127,48,1005,11838,284,1318659,21292,1297367,7737,72733,2962,29520,0,,
2020.07.05.00,1369,16,256,1105,2,8,299274,8363,289911,2020.07.05.00,13091,61,976,11832,283,1312961,21646,1291315,7980,71830,2925,29367,0,,
2020.07.04.00,1353,7,242,1103,18,8,297201,9131,288070,2020.07.04.00,13030,63,936,11811,283,1306493,22321,1284172,7888,70929,2978,29129,0,,
2020.07.03.00,1346,12,254,1085,31,7,294510,8956,285554,2020.07.03.00,12967,63,926,11759,282,1294794,21560,1273234,7622,70320,2897,29070,0,,
2020.07.02.00,1334,13,273,1054,28,7,291561,8881,282680,2020.07.02.00,12904,54,938,11684,282,1283058,19782,1263276,7650,69656,2953,28878,0,,
2020.07.01.00,1321,9,288,1026,41,7,287875,8911,278964,2020.07.01.00,12850,51,955,11613,282,1272381,19526,1252855,7334,69179,3047,28661,0,,
2020.06.30.00,1312,7,320,985,43,7,283897,8937,274960,2020.06.30.00,12800,43,981,11537,282,1260966,20809,1240157,7343,68608,2986,28504,0,,
2020.06.29.00,1305,7,356,942,19,7,281411,8939,272472,2020.06.29.00,12757,42,1046,11429,282,1247197,18499,1228698,7346,67879,2935,28353,0,,
2020.06.28.00,1298,14,368,923,12,7,280610,8999,271611,2020.06.28.00,12715,63,1069,11364,282,1238980,19005,1219975,7372,67003,2901,28226,0,,
2020.06.27.00,1284,17,366,911,68,7,277742,8500,269242,2020.06.27.00,12653,51,1054,11317,282,1231127,19866,1211261,7446,65972,3447,27250,0,,
2020.06.26.00,1267,17,417,843,82,7,273470,8486,264984,2020.06.26.00,12602,39,1148,11172,282,1219713,18828,1200885,7582,65346,3299,27135,0,,
2020.06.25.00,1250,9,482,761,14,7,261515,8374,261515,2020.06.25.00,12563,28,1307,10974,282,1207915,18900,1189015,7763,64702,3399,26790,0,,
2020.06.24.00,1241,11,488,747,4,6,266197,8491,257706,2020.06.24.00,12535,51,1324,10930,281,1196062,20245,1175817,7789,64085,3331,26651,0,,
2020.06.23.00,1230,6,481,743,10,6,262035,8954,253081,2020.06.23.00,12484,46,1295,10908,281,1183528,22278,1161250,7989,63408,3763,26131,0,,
2020.06.22.00,1224,5,485,733,0,6,260179,8802,251377,2020.06.22.00,12438,17,1277,10881,280,1169628,19403,1150225,7832,62668,3720,26140,0,,
2020.06.21.00,1219,17,480,733,3,6,258808,8612,250196,2020.06.21.00,12421,48,1285,10856,280,1163988,20071,1143917,8117,61925,3722,25790,0,,
2020.06.20.00,1202,14,466,730,6,6,255957,8460,247497,2020.06.20.00,12373,67,1237,10856,280,1158525,21470,1137058,8300,60830,3601,25790,0,,
2020.06.19.00,1188,18,458,724,6,6,251983,8386,243597,2020.06.19.00,12306,49,1191,10835,280,1145757,21190,1124567,8456,60072,3464,25452,0,,
2020.06.18.00,1170,25,446,718,8,6,248253,8506,239747,2020.06.18.00,12257,59,1177,10800,280,1133455,21714,1111741,8831,59293,3464,25452,0,,
2020.06.17.00,1145,13,430,710,7,5,244286,8479,235807,2020.06.17.00,12198,43,1145,10774,279,1120625,21489,1099136,8977,58493,3455,25205,0,,
2020.06.16.00,1132,12,425,703,14,4,239947,8696,231251,2020.06.16.00,12155,34,1117,10760,278,1107612,22632,1084980,8933,57963,3582,24866,0,,
2020.06.15.00,1120,7,427,689,0,4,237541,8762,228779,2020.06.15.00,12121,37,1114,10730,277,1093598,20793,1072805,8966,57200,3745,24575,0,,
2020.06.14.00,1113,12,420,689,1,4,236725,8983,227742,2020.06.14.00,12085,34,1090,10718,277,1088243,21356,1066887,9054,56228,3759,24446,0,,
2020.06.13.00,1101,29,409,688,8,4,233862,8981,224881,2020.06.13.00,12051,49,1083,10691,277,1082653,23352,1059301,9011,55243,4010,23832,0,,
2020.06.12.00,1072,24,388,680,5,4,230103,9585,220518,2020.06.12.00,12003,56,1057,10669,277,1069484,24244,1045240,8795,54845,4279,23168,0,,
2020.06.11.10,1048,19,369,675,9,4,225425,9512,215913,2020.06.11.00,11947,45,1017,10654,276,1054941,25494,1029447,8868,54125,4229,22587,0,,
2020.06.10.10,1029,10,359,666,2,4,220349,9259,211090,2020.06.10.00,11902,50,1015,10611,276,1040070,26223,1013847,8698,53665,4221,22263,0,,
2020.06.09.10,1019,22,351,664,13,4,215545,9079,206466,2020.06.09.00,11852,38,989,10589,274,1024145,27459,996686,8546,53130,4451,21795,0,,
2020.06.08.10,997,18,342,651,0,4,213160,8869,204291,2020.06.08.00,11814,38,978,10563,273,1006400,24374,982026,8471,52469,4338,21737,0,,
2020.06.07.10,979,27,324,651,1,4,211327,8551,202776,2020.06.07.00,11776,57,951,10552,273,1000993,26481,974512,7923,51921,4384,21403,0,,
2020.06.06.10,952,23,298,650,5,4,209126,8521,200605,2020.06.06.00,11719,51,915,10531,273,993586,27954,965632,7708,51043,4456,20888,0,,
2020.06.05.10,929,13,280,645,1,4,205416,8572,196844,2020.06.05.00,11668,39,889,10506,273,979292,28766,950526,7481,50517,4274,20750,0,,
2020.06.04.10,916,20,268,644,5,4,200509,8797,191712,2020.06.04.00,11629,39,857,10499,273,962229,28199,934030,7281,49934,4312,20545,0,,
2020.06.03.10,896,18,253,639,1,4,196379,8793,187586,2020.06.03.00,11590,49,850,10467,273,945262,27865,917397,7022,49383,3938,20528,0,,
2020.06.02.10,878,15,236,638,11,4,192327,8627,183700,2020.06.02.00,11541,38,823,10446,272,928310,28922,899388,7040,48832,4018,20248,0,,
2020.06.01.10,863,2,232,627,0,4,188476,8533,179943,2020.06.01.00,11503,35,810,10422,271,909888,24058,885830,7068,48046,3896,20136,0,,
2020.05.31.10,861,6,230,627,0,4,187770,8707,179063,2020.05.31.00,11468,27,793,10405,270,899354,23294,876060,7229,47259,3905,19849,0,,
2020.05.30.10,855,9,224,627,4,4,184309,8267,176042,2020.05.30.00,11441,39,774,10398,269,891460,26298,865162,7159,46529,3436,19755,0,,
2020.05.29.10,846,18,219,623,2,4,180585,7754,172831,2020.05.29.00,11402,58,770,10363,269,873718,24557,849161,7203,46089,2525,19599,0,,
2020.05.28.10,828,21,203,621,3,4,177473,8024,169449,2020.05.28.00,11344,79,735,10340,269,857322,22370,834952,7433,45336,2398,19435,0,,
2020.05.27.10,807,15,185,618,4,4,173701,8721,164980,2020.05.27.00,11265,40,701,10295,269,841611,21061,820550,7425,44886,2490,19002,0,,
2020.05.26.10,792,16,174,614,7,4,170513,8805,161708,2020.05.26.00,11225,19,681,10275,269,828250,22044,806206,7381,44390,2665,18673,0,,
2020.05.25.10,776,8,165,607,3,4,168751,8850,159901,2020.05.25.00,11206,16,713,10226,267,815231,19089,796142,7600,43921,2629,18515,0,,
2020.05.24.10,768,6,160,604,0,4,168055,8892,159163,2020.05.24.00,11190,25,711,10213,266,809099,20333,788766,8170,42863,2863,18188,0,,
2020.05.23.10,762,3,154,604,5,4,165744,8598,157146,2020.05.23.00,11165,23,705,10194,266,803255,21569,781686,8178,41964,3406,17603,0,,
2020.05.22.10,759,3,156,599,3,4,162845,8409,154436,2020.05.22.00,11142,20,716,10162,264,791276,20286,770990,8182,41437,3438,17392,0,,
2020.05.21.10,756,3,156,596,4,4,159705,8385,151320,2020.05.21.00,11122,12,723,10135,264,777562,18089,759473,8221,40810,3742,16963,0,,
2020.05.20.10,753,3,157,592,5,4,155822,8265,147557,2020.05.20.00,11110,32,781,10066,263,765323,16351,748972,8157,40317,3710,16674,0,,
2020.05.19.10,750,14,159,587,8,4,152205,8590,143615,2020.05.19.00,11078,13,877,9938,263,754496,16925,737571,8269,39680,3662,16585,0,,
2020.05.18.10,736,1,153,579,4,4,148787,8667,140120,2020.05.18.00,11065,15,898,9904,263,742146,16093,726053,8142,39008,3299,16464,0,,
2020.05.17.10,735,4,156,575,1,4,147613,8437,139176,2020.05.17.00,11050,19,900,9888,262,736603,17660,718943,8307,38108,3230,16416,0,,
2020.05.16.10,731,6,153,574,5,4,143595,8241,135354,2020.05.16.00,11037,19,924,9851,262,729608,18343,711265,8477,37208,2890,16380,0,,
2020.05.15.10,725,11,152,569,5,4,138788,8297,130491,2020.05.15.00,11018,27,937,9821,260,715729,19875,695854,8734,36512,2555,16326,0,,
2020.05.14.10,714,6,146,564,6,4,133600,7612,125988,2020.05.14.00,10991,29,969,9762,260,700493,20722,679771,8619,35874,2418,16316,0,,
2020.05.13.10,708,5,147,558,5,3,129076,6821,122255,2020.05.13.00,10962,26,1008,9695,259,684958,19579,665379,8795,35251,2123,16230,0,,
2020.05.12.10,703,13,147,554,7,2,126464,6296,120168,2020.05.12.00,10936,27,1008,9670,258,669954,16330,653624,8770,34778,1608,16204,0,,
2020.05.11.10,690,21,141,547,6,2,124530,5957,118573,2020.05.11.00,10909,35,1021,9632,256,657583,10922,646661,9053,34019,1279,16147,0,,
2020.05.10.10,669,11,126,541,5,2,123889,5726,118163,2020.05.10.00,10874,34,1008,9610,256,653012,10128,642884,8761,33241,1061,16133,0,,
2020.05.09.10,658,10,120,536,16,2,123201,5468,117733,2020.05.09.00,10840,18,1016,9568,256,649190,9153,640037,8657,32467,607,16118,0,,
2020.05.08.10,648,11,126,520,12,2,124842,8002,116840,2020.05.08.00,10822,12,1082,9484,256,644041,8867,635174,8855,31745,634,16086,0,,
2020.05.07.10,637,0,127,508,14,2,120284,5295,114989,2020.05.07.00,10810,4,1135,9419,256,638578,8429,630149,8866,31105,659,16032,0,,
2020.05.06.10,637,0,141,494,5,2,119423,5338,114085,2020.05.06.00,10806,2,1218,9333,255,632289,8009,624280,8877,30575,654,15988,0,,
2020.05.05.10,637,0,146,489,8,2,118241,5204,113037,2020.05.05.00,10804,3,1267,9283,254,629433,8858,620575,9104,30180,662,15961,0,,
2020.05.04.10,637,0,154,481,8,2,117774,5326,112448,2020.05.04.00,10801,8,1332,9217,252,623120,8176,614944,9324,29476,895,15717,0,,
2020.05.03.10,637,2,162,473,10,2,117436,5323,112113,2020.05.03.00,10793,13,1360,9183,250,620180,8588,611592,9409,28407,948,15661,0,,
2020.05.02.10,635,1,170,463,8,2,116857,5357,111500,2020.05.02.00,10780,6,1407,9123,250,616782,8496,608286,9580,27337,952,15645,0,,
2020.05.01.10,634,1,177,455,2,2,116120,5442,110678,2020.05.01.00,10774,9,1454,9072,248,612295,8685,603610,10021,26590,1026,15537,0,,
2020.04.30.10,633,0,178,453,16,2,114805,5474,109331,2020.04.30.00,10765,4,1459,9059,247,609116,8634,600482,10492,25829,1104,15412,0,,
2020.04.29.10,633,0,194,437,10,2,116149,8081,108068,2020.04.29.00,10761,9,1593,8922,246,603436,8307,595129,10562,25112,1094,15384,0,,
2020.04.28.10,633,4,204,427,34,2,111888,5589,106299,2020.04.28.00,10752,14,1654,8854,244,597762,9203,588559,11041,24120,1204,15224,0,,
2020.04.27.10,629,0,234,393,5,2,111108,5589,105519,2020.04.27.00,10738,10,1731,8764,243,590922,8895,582027,12327,22491,1236,15144,0,,
2020.04.26.10,629,0,239,388,5,2,110737,5538,105199,2020.04.26.00,10728,10,1769,8717,242,587557,8999,578558,13016,21337,1296,15082,0,,
2020.04.25.10,629,1,244,383,21,2,109708,5340,104368,2020.04.25.00,10718,10,1843,8635,240,584443,9259,575184,14553,18993,1255,14964,0,,
2020.04.24.10,628,0,264,362,20,2,108856,5363,103493,2020.04.24.00,10708,6,1967,8501,240,578812,9600,569212,15321,17878,1393,14790,0,,
2020.04.23.10,628,0,284,342,20,2,110134,7860,102274,2020.04.23.00,10702,8,2051,8411,240,573269,10139,563130,15834,16730,1459,14640,0,,
2020.04.22.10,628,2,304,322,7,2,105582,5289,100293,2020.04.22.00,10694,11,2179,8277,238,567265,12121,555144,16298,15744,1443,14555,0,,
2020.04.21.10,626,0,309,315,0,2,107115,7768,99347,2020.04.21.00,10683,0,2233,8213,237,560331,12721,547610,17243,14406,1706,14168,0,,
2020.04.20.10,624,0,318,304,0,2,102531,5259,97272,2020.04.20.00,10674,0,2324,8114,236,552361,11981,540380,18002,12813,1984,13849,0,,
2020.04.19.10,624,0,334,288,0,2,101675,5271,96404,2020.04.19.00,10661,0,2385,8042,234,548448,12243,536205,18620,11487,2020,13625,0,,
2020.04.18.10,623,0,347,274,0,2,100643,5211,95432,2020.04.18.00,10653,0,2484,7937,232,544181,13550,530631,19285,10214,2352,13322,0,,
2020.04.17.10,621,0,351,268,0,2,98561,5368,93193,2020.04.17.00,10635,0,2576,7829,230,535828,14186,521642,18696,8481,2533,13009,0,,
2020.04.16.10,619,0,367,250,0,2,96988,5318,91670,2020.04.16.00,10613,0,2627,7757,229,528162,14268,513894,17029,6745,2943,12367,0,,
2020.04.15.10,619,0,378,239,0,2,96012,5348,90664,2020.04.15.00,10591,0,2750,7616,225,523961,15026,508935,23069,5866,3072,12202,0,,
2020.04.14.10,613,0,383,228,0,2,94036,5407,88629,2020.04.14.00,10564,0,2808,7534,222,516874,14651,502223,21934,4850,3546,11400,0,,
2020.04.13.10,610,0,394,214,0,2,92481,5283,87198,2020.04.13.00,10537,0,2873,7447,217,508206,13391,494815,17085,3922,3600,10998,0,,
2020.04.12.10,602,0,398,202,0,2,92016,5178,86838,2020.04.12.00,10512,0,2930,7368,214,504109,13788,490321,16703,2885,4130,10413,0,,
2020.04.11.10,600,0,403,195,0,2,90896,5018,85878,2020.04.11.00,10480,0,3026,7243,211,499999,14070,485929,0,0,0,0,0,,
2020.04.10.10,597,0,410,185,0,2,89244,5044,84200,2020.04.10.00,10450,0,3125,7117,208,492601,15298,477303,0,0,0,0,0,,
2020.04.09.10,592,0,416,174,0,2,87743,4908,82835,2020.04.09.00,10423,0,3246,6973,204,484288,15509,468779,0,0,0,0,0,,
2020.04.08.10,581,0,410,169,0,2,83952,5011,80941,2020.04.08.00,10384,0,3408,6776,200,457619,17858,457761,0,0,0,0,0,,
2020.04.07.10,571,0,407,164,0,0,83621,4680,78941,2020.04.07.00,10331,0,3445,6694,192,466973,20650,446323,0,0,0,0,0,,
2020.04.06.10,563,0,412,151,0,0,82514,4758,77756,2020.04.06.00,10284,0,3500,6598,186,456520,19295,437225,0,0,0,0,0,,
2020.04.05.10,558,0,413,145,0,0,84394,6981,77413,2020.04.05.00,10237,0,3591,6463,183,450996,19571,431425,0,0,0,0,0,,
2020.04.04.10,533,0,389,144,0,0,83784,7234,76550,2020.04.04.00,10156,0,3654,6325,177,444876,20144,424732,0,0,0,0,0,,
2020.04.03.10,513,0,382,131,0,0,77907,4924,72983,2020.04.03.00,10062,0,3867,6021,174,433211,18908,414303,0,0,0,0,0,,
